Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-08-01,26.36965701,5.312735147,21.056921863,9.825,9.825,9.825,20.485464815,20.485464815,20.485464815,20.485464815,7.16991268525,13.315552129750001,6.811417050987499,12.957056495487501,0.3584956342625003,0.3584956342625003,0.7169912685250006,2774015.3535858463
8,1985-09-01,7.680103929,5.555099494,2.125004435,9.825,9.825,9.825,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,7.177410173075624,13.960550948075626,0.37775843016187527,0.37775843016187527,0.7555168603237505,2923069.585969412
9,1985-10-01,0.076426345,6.416250978,-6.339824633,3.485175366999999,3.485175366999999,3.485175366999999,0.0,0.0,0.0,0.0,0.0,0.0,6.818539664421842,13.601680439421845,0.3588705086537815,0.3588705086537815,0.717741017307563,2776916.106670941
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47761268120075,13.260753456200753,0.34092698322109244,0.34092698322109244,0.6818539664421849,2638070.3013373944
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.153732047140712,12.936872822140716,0.32388063406003775,0.32388063406003775,0.6477612681200755,2506166.7862705244
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.846045444783677,12.62918621978368,0.3076866023570359,0.3076866023570359,0.6153732047140718,2380858.4469569977
