Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-02-01,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-03-01,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-04-01,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-05-01,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-06-01,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-07-01,16.13184634,6.878303388,9.253542952,9.253542952,9.253542952,9.253542952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1985-08-01,26.36965701,5.312735147,21.056921863,9.375,9.375,9.375,20.935464815,20.935464815,20.935464815,20.935464815000003,7.327412685250001,13.608052129750002,6.9610420509875,13.241681495487502,0.3663706342625003,0.3663706342625003,0.7327412685250007,2834951.579362846
8,1985-09-01,7.680103929,5.555099494,2.125004435,9.375,9.375,9.375,2.125004435000001,2.125004435000001,2.125004435000001,2.125004435000001,0.7437515522500003,1.3812528827500008,7.319553923075625,14.237694698075627,0.3852396801618754,0.3852396801618754,0.7704793603237508,2980959.000457563
9,1985-10-01,0.076426345,6.416250978,-6.339824633,3.035175367,3.035175367,3.035175367,0.0,0.0,0.0,0.0,0.0,0.0,6.953576226921843,13.871717001921846,0.36597769615378156,0.36597769615378156,0.7319553923075631,2831911.0504346844
10,1985-11-01,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60589741557575,13.524038190575753,0.34767881134609246,0.34767881134609246,0.6953576226921849,2690315.49791295
11,1985-12-01,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.275602544796962,13.193743319796965,0.33029487077878783,0.33029487077878783,0.6605897415575757,2555799.7230173023
12,1985-01-13,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961822417557114,12.879963192557117,0.3137801272398484,0.3137801272398484,0.6275602544796968,2428009.7368664364
