Day,Date,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q
0,1985-01-01,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1985-01-02,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1985-01-03,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1985-01-04,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1985-01-05,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1985-01-06,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1985-01-07,16.13184634,6.878303388,9.253542952,8.025,8.025,8.025,1.2285429519999997,1.2285429519999997,1.2285429519999997,1.2285429519999997,0.4299900331999999,0.7985529187999999,0.40849053153999987,0.7770534171399999,0.021499501660000014,0.021499501660000014,0.04299900332000003,166361.71266625362
7,1985-01-08,26.36965701,5.312735147,21.056921863,8.025,8.025,8.025,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,7.3894925244105,14.0751319689105,0.3889206591795003,0.3889206591795003,0.7778413183590006,3009442.1710605333
8,1985-01-09,7.680103929,5.555099494,2.125004435,8.025,8.025,8.025,2.1250044349999992,2.1250044349999992,2.1250044349999992,2.1250044349999992,0.7437515522499997,1.3812528827499995,7.726581872827475,15.049722647827473,0.40666220383302537,0.40666220383302537,0.8133244076660507,3146725.0625703656
9,1985-01-10,0.076426345,6.416250978,-6.339824633,1.6851753670000003,1.6851753670000003,1.6851753670000003,0.0,0.0,0.0,0.0,0.0,0.0,7.340252779186101,14.663393554186099,0.3863290936413741,0.3863290936413741,0.7726581872827482,2989388.8094418473
10,1985-01-11,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.973240140226796,14.296380915226793,0.36701263895930536,0.36701263895930536,0.7340252779186107,2839919.368969755
11,1985-01-12,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.624578133215456,13.947718908215453,0.3486620070113401,0.3486620070113401,0.6973240140226802,2697923.4005212667
