Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
0,7.835630509,6.018402787,1.8172277219999993,1.8172277219999993,1.8172277219999993,1.8172277219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357440.0
1,2.211312626,6.709386696,-4.49807407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320660.0
2,0.0,6.625446562,-6.625446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261870.0
3,0.0,5.175933167,-5.175933167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226440.0
4,0.024878245,6.568890732,-6.544012487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205860.0
5,2.812370831,6.772727718,-3.9603568869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207460.0
6,16.13184634,6.878303388,9.253542952,5.325,5.325,5.325,3.928542952,3.928542952,3.928542952,3.928542952,1.3749900331999998,2.5535529188,1.3062405315399999,2.4848034171399997,0.06874950166000005,0.06874950166000005,0.1374990033200001,531979.0673282539,500260.0
7,26.36965701,5.312735147,21.056921863,5.325,5.325,5.325,21.056921863,21.056921863,21.056921863,21.056921863,7.36992265205,13.68699921095,8.242355024410498,15.737994468910498,0.43380815917950033,0.43380815917950033,0.8676163183590007,3356778.6579894335,1141570.0
8,7.680103929,5.555099494,2.125004435,5.325,5.325,5.325,2.125004435,2.125004435,2.125004435,2.125004435,0.74375155225,1.3812528827500001,8.536801247827473,16.669942022827474,0.4493053288330253,0.4493053288330253,0.8986106576660506,3476694.72515282,1826320.0
9,0.076426345,6.416250978,-6.339824633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.109961185436099,16.2431019604361,0.426840062391374,0.426840062391374,0.853680124782748,3302859.988895179,1099420.0
10,0.001259917,5.996806301,-5.995546384000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.704463126164294,15.837603901164295,0.40549805927180527,0.40549805927180527,0.8109961185436105,3137716.9894504193,633050.0
11,0.0,5.675340001,-5.675340001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.319239969856079,15.45238074485608,0.385223156308215,0.385223156308215,0.77044631261643,2980831.139977899,407600.0
12,0.0,5.351737018,-5.351737018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.953277971363274,15.086418746363277,0.36596199849280425,0.36596199849280425,0.7319239969856085,2831789.582979004,299220.0
13,0.0,6.029483829,-6.029483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6056140727951105,14.738754847795112,0.34766389856816404,0.34766389856816404,0.6953277971363281,2690200.1038300535,235230.0
14,0.0,5.795325802,-5.795325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.275333369155355,14.408474144155356,0.3302807036397558,0.3302807036397558,0.6605614072795116,2555690.0986385504,190800.0
15,0.0,6.041621874,-6.041621874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9615667006975865,14.094707475697588,0.313766668457768,0.313766668457768,0.627533336915536,2427905.593706623,158240.0
16,0.0,6.565525455,-6.565525455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.663488365662707,13.796629140662708,0.29807833503487957,0.29807833503487957,0.5961566700697591,2306510.3140212917,141530.0
17,0.674244555,5.407655251,-4.733410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.380313947379571,13.513454722379572,0.2831744182831356,0.2831744182831356,0.5663488365662712,2191184.7983202273,133260.0
18,11.782044,4.405401108,7.3766428920000005,5.325,5.325,5.325,2.0516428920000003,2.0516428920000003,2.0516428920000003,2.0516428920000003,0.7180750122,1.3335678798000001,5.793469511600592,14.542103154200595,0.30491944797897885,0.30491944797897885,0.6098388959579577,2359446.3905835254,220010.0
19,0.0,4.023577008,-4.023577008,1.301422992,1.301422992,1.301422992,0.0,0.0,0.0,0.0,0.0,0.0,5.503796036020562,14.252429678620565,0.28967347558002987,0.28967347558002987,0.5793469511600597,2241474.0710543487,206910.0
20,0.000418827,5.130732427,-5.1303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228606234219534,13.977239876819537,0.27518980180102837,0.27518980180102837,0.5503796036020567,2129400.3675016314,183030.0
21,0.0,5.462528205,-5.462528205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.967175922508557,13.71580956510856,0.2614303117109769,0.2614303117109769,0.5228606234219538,2022930.3491265492,155790.0
22,11.74209693,4.240612247,7.501484683000001,5.325,5.325,5.325,2.176484683000001,2.176484683000001,2.176484683000001,2.176484683000001,0.7617696390500003,1.4147150439500007,5.44249828348063,14.844077330980632,0.28644727807792814,0.28644727807792814,0.5728945561558563,2216509.9695446007,147990.0
23,20.59047187,4.743624237,15.846847633,5.325,5.325,5.325,15.846847633,15.846847633,15.846847633,15.846847633,5.546396671549999,10.30045096145,10.439450207279098,24.5950835446791,0.549444747751532,0.549444747751532,1.098889495503064,4251566.882663386,916690.0
24,5.222102023,2.55535382,2.6667482029999996,5.325,5.325,5.325,2.666748203,2.666748203,2.666748203,2.666748203,0.9333618710499999,1.73338633195,10.804171474412643,25.759829272712643,0.5686406039164554,0.5686406039164554,1.1372812078329109,4400103.139837811,1086280.0
25,0.086330103,4.130525348,-4.044195245,1.2808047550000001,1.2808047550000001,1.2808047550000001,0.0,0.0,0.0,0.0,0.0,0.0,10.263962900692011,25.21962069899201,0.5402085737206326,0.5402085737206326,1.0804171474412652,4180097.982845919,622750.0
26,0.085129506,5.220518186,-5.135388679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75076475565741,24.70642255395741,0.513198145034601,0.513198145034601,1.026396290069202,3971093.083703624,413270.0
27,0.000181199,6.228297058,-6.228115859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26322651787454,24.218884316174538,0.487538237782871,0.487538237782871,0.975076475565742,3772538.429518443,313350.0
28,0.01014196,4.454174879,-4.444032919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800065191980812,23.755722990280812,0.4631613258937274,0.4631613258937274,0.9263226517874548,3583911.5080425204,251470.0
29,0.0,5.466951161,-5.466951161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.36006193238177,23.31571973068177,0.44000325959904096,0.44000325959904096,0.8800065191980819,3404715.9326403937,204260.0
30,0.140159629,6.184295192,-6.044135563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942058835762682,22.897716634062682,0.41800309661908885,0.41800309661908885,0.8360061932381777,3234480.136008374,171760.0
31,0.0,3.049335191,-3.049335191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.544955893974548,22.50061369227455,0.39710294178813443,0.39710294178813443,0.7942058835762689,3072756.129207955,150880.0
32,1.680720913,4.272544749,-2.5918238359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16770809927582,22.12336589757582,0.3772477946987277,0.3772477946987277,0.7544955893974554,2919118.3227475574,130880.0
33,0.00638761,3.624537716,-3.618150106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.809322694312028,21.76498049261203,0.3583854049637913,0.3583854049637913,0.7167708099275826,2773162.4066101797,113090.0
34,0.010236704,4.773344491,-4.763107786999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.468856559596427,21.424514357896427,0.3404661347156017,0.3404661347156017,0.6809322694312034,2634504.2862796704,104260.0
35,0.010322638,4.048474176,-4.038151538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.145413731616605,21.101071529916606,0.3234428279798216,0.3234428279798216,0.6468856559596432,2502779.0719656865,95930.0
36,0.974121359,3.217464276,-2.2433429169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.838143045035775,20.793800843335774,0.3072706865808305,0.3072706865808305,0.614541373161661,2377640.118367402,91890.0
37,0.488687162,5.87913903,-5.390451868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.546235892783986,20.501893691083986,0.291907152251789,0.291907152251789,0.583814304503578,2258758.112449032,87950.0
38,0.249255382,3.124070152,-2.87481477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.268924098144786,20.224581896444786,0.2773117946391995,0.2773117946391995,0.554623589278399,2145820.20682658,85290.0
39,1.903996918,2.832301111,-0.928304193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005477893237546,19.961135691537546,0.2634462049072395,0.2634462049072395,0.526892409814479,2038529.1964852512,87680.0
40,0.109637744,4.778889882,-4.669252138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755203998575668,19.71086179687567,0.25027389466187755,0.25027389466187755,0.5005477893237551,1936602.7366609885,74820.0
41,0.989758919,5.32241883,-4.332659911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517443798646885,19.473101596946886,0.2377601999287836,0.2377601999287836,0.4755203998575672,1839772.599827939,70620.0
42,0.976491616,5.016785515,-4.040293899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29157160871454,19.24722940701454,0.22587218993234442,0.22587218993234442,0.45174437986468885,1747783.969836542,67880.0
