Date,Day,P,E,dS,S1,S2,S3,S1_E,S2_E,S3_E,Total_Excess,BFR,SFR,BS,SS,Qbase,Qsurf,Qtotal,Q,Q_obs
1993-05-13,0,0.008073297,1.312489593,-1.304416296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6520.0
1993-05-14,1,20.10561849,2.340238893,17.765379597000003,17.765379597000003,17.765379597000003,17.765379597000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180.0
1993-05-15,2,0.14978132,2.403000251,-2.253218931,15.512160666000003,15.512160666000003,15.512160666000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7860.0
1993-05-16,3,0.0,2.09696032,-2.09696032,13.415200346000002,13.415200346000002,13.415200346000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0
1993-05-17,4,0.003335822,1.911931239,-1.9085954170000001,11.506604929000002,11.506604929000002,11.506604929000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.0
1993-05-18,5,0.003538342,2.115669955,-2.112131613,9.394473316000003,9.394473316000003,9.394473316000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12440.0
1993-05-19,6,0.0,1.502089519,-1.502089519,7.892383797000003,7.892383797000003,7.892383797000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12440.0
1993-05-20,7,0.201591128,2.05265132,-1.8510601919999998,6.041323605000002,6.041323605000002,6.041323605000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.0
1993-05-21,8,1.905745282,2.283101306,-0.3773560239999998,5.663967581000002,5.663967581000002,5.663967581000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11420.0
1993-05-22,9,9.49e-06,2.191436896,-2.191427406,3.4725401750000024,3.4725401750000024,3.4725401750000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9660.0
1993-05-23,10,0.03126758,1.93207497,-1.90080739,1.5717327850000025,1.5717327850000025,1.5717327850000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9960.0
1993-05-24,11,0.037280926,1.840001015,-1.802720089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9730.0
1993-05-25,12,0.013397329,2.127916421,-2.114519092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9370.0
1993-05-26,13,0.0,1.436207126,-1.436207126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9370.0
1993-05-27,14,0.296278722,2.016364655,-1.7200859329999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440.0
1993-05-28,15,0.956926009,1.787770095,-0.8308440859999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9350.0
1993-05-29,16,2.075202238,2.106953717,-0.03175147899999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0
1993-05-30,17,4.638778221,1.44758471,3.191193511,3.191193511,3.191193511,3.191193511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9350.0
1993-05-31,18,2.819196144,2.070458486,0.748737658,3.939931169,3.939931169,3.939931169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10120.0
1993-06-01,19,0.39779829,1.724927395,-1.327129105,2.612802064,2.612802064,2.612802064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.0
1993-06-02,20,0.015917988,1.604480425,-1.588562437,1.0242396269999998,1.0242396269999998,1.0242396269999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16960.0
1993-06-03,21,16.16688856,0.677656509,15.489232051,16.513471678,16.513471678,16.513471678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23630.0
1993-06-04,22,1.174749938,0.616781979,0.557967959,17.071439636999997,17.071439636999997,17.071439636999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24060.0
1993-06-05,23,0.0,2.270130139,-2.270130139,14.801309497999998,14.801309497999998,14.801309497999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24060.0
1993-06-06,24,0.003662211,1.571291832,-1.567629621,13.233679876999998,13.233679876999998,13.233679876999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23100.0
1993-06-07,25,0.04410277,1.373437326,-1.3293345559999998,11.904345321,11.904345321,11.904345321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21870.0
1993-06-08,26,1.589453369,1.296929399,0.29252396999999997,12.196869290999999,12.196869290999999,12.196869290999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19890.0
1993-06-09,27,0.0,0.908090275,-0.908090275,11.288779016,11.288779016,11.288779016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18190.0
1993-06-10,28,0.005965763,1.150391351,-1.1444255879999998,10.144353427999999,10.144353427999999,10.144353427999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16510.0
1993-06-11,29,0.055246242,1.383906641,-1.328660399,8.815693028999998,8.815693028999998,8.815693028999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15550.0
1993-06-12,30,0.105448627,1.377382109,-1.2719334820000001,7.543759546999999,7.543759546999999,7.543759546999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14630.0
1993-06-13,31,0.054653221,0.295244462,-0.24059124099999998,7.303168305999999,7.303168305999999,7.303168305999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13490.0
1993-06-14,32,0.0,0.606118608,-0.606118608,6.697049697999999,6.697049697999999,6.697049697999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12560.0
